gender,SeniorCitizen,Partner,Dependents,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn,PhoneService_flag,MultipleLines_flag,OnlineSecurity_flag,OnlineBackup_flag,DeviceProtection_flag,TechSupport_flag,StreamingTV_flag,StreamingMovies_flag,ServiceCount,tenure group,ChurnProbability,RevenueAtRisk,RetentionSegment,RecommendedAction
Female,No,No,Yes,Yes,Yes,DSL,Yes,No,No,No,No,No,Month-to-month,No,Mailed check,57.65,992.7,No,1,1,1,0,0,0,0,0,3,Below 3 years,0.34267884,340.1772893607617,Low Risk,Offer technical support
Female,No,Yes,Yes,Yes,Yes,DSL,Yes,No,Yes,No,No,Yes,One year,Yes,Bank transfer (automatic),68.75,3808.0,No,1,1,1,0,1,0,0,1,5,Below 5 years,0.16989961,646.9777250289917,Low Risk,Offer technical support
Male,No,No,No,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,19.8,304.6,No,1,0,0,0,0,0,0,0,1,Below 3 years,0.103156835,31.421571892499927,Low Risk,Standard engagement
Male,No,Yes,Yes,Yes,Yes,DSL,No,Yes,Yes,No,Yes,Yes,One year,No,Credit card (automatic),78.95,2862.55,No,1,1,0,1,1,0,1,1,6,Below 5 years,0.28025642,802.248016141355,Low Risk,Promote security service
Female,No,Yes,No,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,No,Credit card (automatic),89.3,6388.65,No,1,1,1,1,1,1,1,1,8,oldest Customers,0.06368348,406.85146465748545,Low Risk,Standard engagement
Female,No,No,No,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Electronic check,19.8,695.05,No,1,0,0,0,0,0,0,0,1,Below 5 years,0.12368407,85.96661355160177,Low Risk,Standard engagement
Female,No,Yes,Yes,No,No phone service,DSL,Yes,No,Yes,Yes,Yes,Yes,One year,No,Mailed check,61.25,1993.2,No,0,0,1,0,1,1,1,1,5,Below 3 years,0.16802366,334.9047606647015,Low Risk,Standard engagement
Male,No,Yes,Yes,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Mailed check,19.2,776.25,No,1,0,0,0,0,0,0,0,1,Below 5 years,0.09531415,73.98761090822518,Low Risk,Standard engagement
Male,No,No,No,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,19.95,19.95,Yes,1,0,0,0,0,0,0,0,1,Below 1 year,0.57559985,11.483216992020607,Medium Risk,Promote long-term contract
Male,Yes,No,No,Yes,No,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,79.4,1156.1,Yes,1,0,0,0,0,0,0,1,2,Below 3 years,0.83281714,962.8198923647403,High Risk - High Value,Priority retention offer
Female,No,Yes,Yes,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,No,Yes,Two year,No,Credit card (automatic),107.45,7658.3,No,1,1,1,1,1,1,0,1,7,oldest Customers,0.095814675,733.7775262624026,Low Risk,Standard engagement
Female,No,No,No,Yes,No,Fiber optic,No,Yes,Yes,No,No,Yes,Month-to-month,Yes,Credit card (automatic),93.2,1573.7,Yes,1,0,0,1,1,0,0,1,4,Below 3 years,0.7075962,1113.5441129088401,High Risk - High Value,Priority retention offer
Female,No,No,No,No,No phone service,DSL,No,No,Yes,No,Yes,Yes,One year,Yes,Electronic check,49.05,2265.0,No,0,0,0,0,1,0,1,1,3,Below 5 years,0.3488263,790.0915449857712,Low Risk,Promote security service
Male,No,Yes,Yes,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,No,Bank transfer (automatic),74.35,4453.3,No,1,1,0,0,0,0,0,0,2,oldest Customers,0.36813155,1639.4002234488726,Low Risk,Promote security service
Male,No,No,No,Yes,No,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),105.65,6844.5,No,1,0,1,0,1,1,1,1,6,oldest Customers,0.2957057,2023.9577039033175,Low Risk,Standard engagement
Male,No,Yes,Yes,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),79.5,868.5,Yes,1,0,0,0,0,0,1,0,2,Below 1 year,0.6842014,594.2289327085018,Medium Risk,Promote security service
Male,No,Yes,No,Yes,Yes,DSL,Yes,No,No,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),76.95,5289.8,No,1,1,1,0,0,1,1,1,6,oldest Customers,0.07791413,412.15018427670003,Low Risk,Standard engagement
